No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;time 1;time 2;delay ;;delay 1 ;delay 2;jitter
1957; 16.026.845 ;192.168.18.11;103.231.98.196;TCP;54;56474  >  443 [FIN, ACK] Seq=1 Ack=1 Win=509 Len=0;;;;;;;;;;; 16.026.845 ; 16.026.890 ; 45 ;; - ; 45 ; 45 
1958; 16.026.890 ;192.168.18.11;103.231.98.196;TCP;54;56473  >  443 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0;;;;;;;;;;; 16.026.890 ; 16.026.937 ; 45 ;;-2 ; 47 ; 49 
1959; 16.026.937 ;192.168.18.11;69.173.159.35;TCP;54;56469  >  443 [FIN, ACK] Seq=1 Ack=1 Win=509 Len=0;;;;;;;;;;; 16.026.937 ; 16.027.484 ; 47 ;;-500 ; 547 ; 1.047 
1961; 16.027.484 ;192.168.18.11;74.125.200.95;TCP;66;56682  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;; 16.027.484 ; 16.132.760 ; 547 ;;-104.729 ; 105.276 ; 210.005 
2262; 16.132.760 ;74.125.200.95;192.168.18.11;TCP;66;443  >  56682 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM=1 WS=256;;;;;;;;;;; 16.132.760 ; 16.132.826 ; 105.276 ;; 105.210 ; 66 ;-105.144 
2263; 16.132.826 ;192.168.18.11;74.125.200.95;TCP;54;56682  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0;;;;;;;;;;; 16.132.826 ; 16.133.023 ; 66 ;;-131 ; 197 ; 328 
2264; 16.133.023 ;103.231.98.196;192.168.18.11;TCP;54;443  >  56473 [ACK] Seq=1 Ack=2 Win=4373 Len=0;;;;;;;;;;; 16.133.023 ; 16.133.036 ; 197 ;; 184 ; 13 ;-171 
2265; 16.133.036 ;192.168.18.11;74.125.200.95;TLSv1.3;571;Client Hello;;;;;;;;;;; 16.133.036 ; 16.133.204 ; 13 ;;-155 ; 168 ; 323 
2266; 16.133.204 ;103.231.98.196;192.168.18.11;TCP;54;443  >  56473 [FIN, ACK] Seq=1 Ack=2 Win=4373 Len=0;;;;;;;;;;; 16.133.204 ; 16.133.224 ; 168 ;; 148 ; 20 ;-128 
2267; 16.133.224 ;192.168.18.11;103.231.98.196;TCP;54;56473  >  443 [ACK] Seq=2 Ack=2 Win=512 Len=0;;;;;;;;;;; 16.133.224 ; 16.133.415 ; 20 ;;-171 ; 191 ; 362 
2268; 16.133.415 ;103.231.98.196;192.168.18.11;TCP;54;443  >  56474 [ACK] Seq=1 Ack=2 Win=3690 Len=0;;;;;;;;;;; 16.133.415 ; 16.133.934 ; 191 ;;-328 ; 519 ; 847 
2269; 16.133.934 ;103.231.98.196;192.168.18.11;TCP;54;443  >  56474 [FIN, ACK] Seq=1 Ack=2 Win=3690 Len=0;;;;;;;;;;; 16.133.934 ; 16.133.948 ; 519 ;; 505 ; 14 ;-491 
2270; 16.133.948 ;192.168.18.11;103.231.98.196;TCP;54;56474  >  443 [ACK] Seq=2 Ack=2 Win=509 Len=0;;;;;;;;;;; 16.133.948 ; 16.150.480 ; 14 ;;-16.518 ; 16.532 ; 33.050 
2307; 16.150.480 ;69.173.159.35;192.168.18.11;TCP;54;443  >  56469 [FIN, ACK] Seq=1 Ack=2 Win=14331 Len=0;;;;;;;;;;; 16.150.480 ; 16.150.514 ; 16.532 ;; 16.498 ; 34 ;-16.464 
2308; 16.150.514 ;192.168.18.11;69.173.159.35;TCP;54;56469  >  443 [ACK] Seq=2 Ack=2 Win=509 Len=0;;;;;;;;;;; 16.150.514 ; 16.171.314 ; 34 ;;-20.766 ; 20.800 ; 41.566 
2344; 16.171.314 ;74.125.200.95;192.168.18.11;TCP;54;443  >  56682 [ACK] Seq=1 Ack=518 Win=66816 Len=0;;;;;;;;;;; 16.171.314 ; 16.174.299 ; 20.800 ;; 17.815 ; 2.985 ;-14.830 
2350; 16.174.299 ;74.125.200.95;192.168.18.11;TLSv1.3;1466;Server Hello, Change Cipher Spec;;;;;;;;;;; 16.174.299 ; 16.174.592 ; 2.985 ;; 2.692 ; 293 ;-2.399 
2351; 16.174.592 ;74.125.200.95;192.168.18.11;TCP;1466;443  >  56682 [ACK] Seq=1413 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;;; 16.174.592 ; 16.174.617 ; 293 ;; 268 ; 25 ;-243 
2352; 16.174.617 ;192.168.18.11;74.125.200.95;TCP;54;56682  >  443 [ACK] Seq=518 Ack=2825 Win=131072 Len=0;;;;;;;;;;; 16.174.617 ; 16.175.070 ; 25 ;;-428 ; 453 ; 881 
2353; 16.175.070 ;74.125.200.95;192.168.18.11;TLSv1.3;148;Application Data;;;;;;;;;;; 16.175.070 ; 16.175.778 ; 453 ;;-255 ; 708 ; 963 
2355; 16.175.778 ;192.168.18.11;74.125.200.95;TLSv1.3;118;Change Cipher Spec, Application Data;;;;;;;;;;; 16.175.778 ; 16.211.167 ; 708 ;;-34.681 ; 35.389 ; 70.070 
2435; 16.211.167 ;74.125.200.95;192.168.18.11;TLSv1.3;634;Application Data, Application Data;;;;;;;;;;; 16.211.167 ; 16.252.516 ; 35.389 ;;-5.960 ; 41.349 ; 47.309 
2526; 16.252.516 ;192.168.18.11;74.125.200.95;TCP;54;56682  >  443 [ACK] Seq=582 Ack=3499 Win=130560 Len=0;;;;;;;;;;; 16.252.516 ; 17.096.621 ; 41.349 ;;-802.756 ; 844.105 ; 1.646.861 
4246; 17.096.621 ;192.168.18.11;182.253.220.205;TCP;66;56683  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;; 17.096.621 ; 17.096.824 ; 844.105 ;; 843.902 ; 203 ;-843.699 
4248; 17.096.824 ;192.168.18.11;182.253.220.205;TCP;66;56684  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;; 17.096.824 ; 17.139.314 ; 203 ;;-42.287 ; 42.490 ; 84.777 
4336; 17.139.314 ;182.253.220.205;192.168.18.11;TCP;66;443  >  56683 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM=1 WS=256;;;;;;;;;;; 17.139.314 ; 17.139.371 ; 42.490 ;; 42.433 ; 57 ;-42.376 
4337; 17.139.371 ;192.168.18.11;182.253.220.205;TCP;54;56683  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0;;;;;;;;;;; 17.139.371 ; 17.139.386 ; 57 ;; 42 ; 15 ;-27 
4338; 17.139.386 ;182.253.220.205;192.168.18.11;TCP;66;443  >  56684 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM=1 WS=256;;;;;;;;;;; 17.139.386 ; 17.139.414 ; 15 ;;-13 ; 28 ; 41 
4339; 17.139.414 ;192.168.18.11;182.253.220.205;TCP;54;56684  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0;;;;;;;;;;; 17.139.414 ; 17.139.719 ; 28 ;;-277 ; 305 ; 582 
4340; 17.139.719 ;192.168.18.11;182.253.220.205;TLSv1.3;571;Client Hello;;;;;;;;;;; 17.139.719 ; 17.140.070 ; 305 ;;-46 ; 351 ; 397 
4342; 17.140.070 ;192.168.18.11;182.253.220.205;TLSv1.3;571;Client Hello;;;;;;;;;;; 17.140.070 ; 17.196.862 ; 351 ;;-56.441 ; 56.792 ; 113.233 
4474; 17.196.862 ;182.253.220.205;192.168.18.11;TCP;54;443  >  56684 [ACK] Seq=1 Ack=518 Win=66816 Len=0;;;;;;;;;;; 17.196.862 ; 17.197.975 ; 56.792 ;; 55.679 ; 1.113 ;-54.566 
4478; 17.197.975 ;182.253.220.205;192.168.18.11;TCP;54;443  >  56683 [ACK] Seq=1 Ack=518 Win=66816 Len=0;;;;;;;;;;; 17.197.975 ; 17.200.439 ; 1.113 ;;-1.351 ; 2.464 ; 3.815 
4484; 17.200.439 ;182.253.220.205;192.168.18.11;TLSv1.3;1466;Server Hello, Change Cipher Spec;;;;;;;;;;; 17.200.439 ; 17.203.576 ; 2.464 ;;-673 ; 3.137 ; 3.810 
4486; 17.203.576 ;182.253.220.205;192.168.18.11;TCP;1466;443  >  56684 [ACK] Seq=1413 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;;; 17.203.576 ; 17.203.611 ; 3.137 ;; 3.102 ; 35 ;-3.067 
4487; 17.203.611 ;192.168.18.11;182.253.220.205;TCP;54;56684  >  443 [ACK] Seq=518 Ack=2825 Win=131072 Len=0;;;;;;;;;;; 17.203.611 ; 17.203.640 ; 35 ;; 6 ; 29 ; 23 
4488; 17.203.640 ;182.253.220.205;192.168.18.11;TLSv1.3;535;Application Data;;;;;;;;;;; 17.203.640 ; 17.204.285 ; 29 ;;-616 ; 645 ; 1.261 
4489; 17.204.285 ;192.168.18.11;182.253.220.205;TLSv1.3;118;Change Cipher Spec, Application Data;;;;;;;;;;; 17.204.285 ; 17.204.628 ; 645 ;; 302 ; 343 ; 41 
4490; 17.204.628 ;182.253.220.205;192.168.18.11;TLSv1.3;1466;Server Hello, Change Cipher Spec;;;;;;;;;;; 17.204.628 ; 17.204.933 ; 343 ;; 38 ; 305 ; 267 
4491; 17.204.933 ;182.253.220.205;192.168.18.11;TCP;1466;443  >  56683 [ACK] Seq=1413 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;;; 17.204.933 ; 17.204.950 ; 305 ;; 288 ; 17 ;-271 
4492; 17.204.950 ;192.168.18.11;182.253.220.205;TCP;54;56683  >  443 [ACK] Seq=518 Ack=2825 Win=131072 Len=0;;;;;;;;;;; 17.204.950 ; 17.206.287 ; 17 ;;-1.320 ; 1.337 ; 2.657 
4493; 17.206.287 ;182.253.220.205;192.168.18.11;TLSv1.3;535;Application Data;;;;;;;;;;; 17.206.287 ; 17.207.036 ; 1.337 ;; 588 ; 749 ; 161 
4495; 17.207.036 ;192.168.18.11;182.253.220.205;TLSv1.3;118;Change Cipher Spec, Application Data;;;;;;;;;;; 17.207.036 ; 17.291.567 ; 749 ;;-83.782 ; 84.531 ; 168.313 
4695; 17.291.567 ;182.253.220.205;192.168.18.11;TCP;60;443  >  56684 [ACK] Seq=3306 Ack=582 Win=66816 Len=0;;;;;;;;;;; 17.291.567 ; 17.294.039 ; 84.531 ;; 82.059 ; 2.472 ;-79.587 
